chart|date|executionTime|upstreamLatency|proxyLatency|responseCode|responseTime
2020/02/10|13:00:08|||||
2020/02/10|13:10:08|||||
2020/02/10|13:20:08|||||
2020/02/10|13:30:08|||||
2020/02/10|13:40:08|||||
2020/02/10|13:50:08|||||
2020/02/10|14:00:08|||||
2020/02/10|14:10:08|||||
2020/02/10|14:20:08|||||
2020/02/10|14:30:09|||||
2020/02/10|14:40:08|||||
2020/02/10|14:50:08|||||
2020/02/10|15:00:08|||||
2020/02/10|15:10:08|||||
2020/02/10|15:20:08|||||
2020/02/10|15:30:08|||||
2020/02/10|15:40:08|||||
2020/02/10|15:50:08|||||
2020/02/10|16:00:08|||||
2020/02/10|16:10:08|||||
2020/02/10|16:20:08|||||
2020/02/10|16:30:08|||||
2020/02/10|16:40:08|||||
2020/02/10|16:50:08|||||
2020/02/10|17:00:08|||||
2020/02/10|17:10:08|||||
2020/02/10|17:20:08|||||
2020/02/10|17:30:08|||||
2020/02/10|17:40:08|||||
2020/02/10|17:50:08|||||
2020/02/10|18:00:08|||||
2020/02/10|18:10:08|||||
2020/02/10|18:20:09|||||
2020/02/10|18:30:09|||||
2020/02/10|18:40:08|||||
2020/02/10|18:50:08|||||
2020/02/10|19:00:08|||||
2020/02/10|19:10:08|||||
2020/02/10|19:20:08|||||
2020/02/10|19:30:08|||||
2020/02/10|19:40:08|||||
2020/02/10|19:50:08|||||
2020/02/10|20:00:08|||||
2020/02/10|20:10:08|||||
2020/02/10|20:20:08|||||
2020/02/10|20:30:08|||||
2020/02/10|20:40:08|||||
2020/02/10|20:50:08|||||
2020/02/10|21:00:08|||||
2020/02/10|21:10:08|||||
2020/02/10|21:20:08|||||
2020/02/10|21:30:08|||||
2020/02/10|21:40:08|||||
2020/02/10|21:50:08|||||
2020/02/10|22:00:08|||||
2020/02/10|22:10:08|||||
2020/02/10|22:20:08|||||
2020/02/10|22:30:08|||||
2020/02/10|22:40:08|||||
2020/02/10|22:50:08|||||
2020/02/10|23:00:08|||||
2020/02/10|23:10:08|||||
2020/02/10|23:20:08|||||
2020/02/10|23:30:08|||||
2020/02/10|23:40:08|||||
2020/02/10|23:50:08|||||
2020/02/11|00:00:08|||||
2020/02/11|00:10:08|||||
2020/02/11|00:20:08|||||
2020/02/11|00:30:09|||||
2020/02/11|00:40:08|||||
2020/02/11|00:50:08|||||
2020/02/11|01:00:08|||||
2020/02/11|01:10:08|||||
2020/02/11|01:20:08|||||
2020/02/11|01:30:08|||||
2020/02/11|01:40:08|||||
2020/02/11|01:50:08|||||
2020/02/11|02:00:08|||||
2020/02/11|02:10:08|||||
2020/02/11|02:20:08|||||
2020/02/11|02:30:09|||||
2020/02/11|02:40:08|||||
2020/02/11|02:50:08|||||
2020/02/11|03:00:09|||||
2020/02/11|03:10:08|||||
2020/02/11|03:20:08|||||
2020/02/11|03:30:08|||||
2020/02/11|03:40:08|||||
2020/02/11|03:50:08|||||
2020/02/11|04:00:08|||||
2020/02/11|04:10:08|||||
2020/02/11|04:20:08|||||
2020/02/11|04:30:08|||||
2020/02/11|04:40:08|||||
2020/02/11|04:50:08|||||
2020/02/11|05:00:08|||||
2020/02/11|05:10:08|||||
2020/02/11|05:20:08|||||
2020/02/11|05:30:08|||||
2020/02/11|05:40:07|||||
2020/02/11|05:50:08|||||
2020/02/11|06:00:09|||||
2020/02/11|06:10:08|||||
2020/02/11|06:20:09|||||
2020/02/11|06:30:09|||||
2020/02/11|06:40:08|||||
2020/02/11|06:50:08|||||
2020/02/11|07:00:08|||||
2020/02/11|07:10:08|||||
2020/02/11|07:20:08|||||
2020/02/11|07:30:08|||||
2020/02/11|07:40:08|||||
2020/02/11|07:50:08|||||
