chart|date|executionTime|upstreamLatency|proxyLatency|responseCode|responseTime
2018/01/14|22:20:03|0.612|7|16|200|114.51196670532227
2018/01/14|22:30:03|0.613|14|10|200|146.24691009521484
2018/01/14|22:40:03|0.616|5|9|200|105.1480770111084
2018/01/14|22:50:03|0.63|5|40|200|153.14197540283203
2018/01/14|23:00:03|0.615|13|11|200|118.25299263000488
2018/01/14|23:10:03|0.617|13|40|200|170.7751750946045
2018/01/14|23:20:03|0.61|6|9|200|111.86599731445312
2018/01/14|23:30:03|0.635|5|10|200|133.9869499206543
2018/01/14|23:40:03|0.615|6|9|200|109.34591293334961
2018/01/14|23:50:03|0.618|5|9|200|134.20414924621582
2018/01/15|00:00:03|0.613|5|41|200|139.76383209228516
2018/01/15|00:10:03|0.617|4|14|200|135.21885871887207
2018/01/15|00:20:03|0.616|14|9|200|121.5519905090332
2018/01/15|00:30:03|0.621|16|9|200|120.43213844299316
2018/01/15|00:40:03|0.61|12|11|200|125.82015991210938
2018/01/15|00:50:03|0.61|5|9|200|141.10994338989258
2018/01/15|01:00:03|0.614|5|35|200|129.472017288208
2018/01/15|01:10:03|0.616|12|11|200|148.8800048828125
2018/01/15|01:20:03|0.61|14|11|200|110.44096946716309
2018/01/15|01:30:03|0.609|5|40|200|151.6890525817871
2018/01/15|01:40:03|0.614|4|11|200|100.21591186523438
2018/01/15|01:50:03|0.609|10|43|200|176.5730381011963
2018/01/15|02:00:03|1.141|7|10|200|107.77807235717773
2018/01/15|02:10:03|0.67|6|35|200|143.05901527404785
2018/01/15|02:20:03|0.66|5|11|200|111.99092864990234
2018/01/15|02:30:03|0.665|5|11|200|170.66311836242676
2018/01/15|02:40:03|0.774|6|41|200|141.4051055908203
2018/01/15|02:50:03|0.666|5|8|200|135.65802574157715
2018/01/15|03:00:03|0.675|8|42|200|145.56598663330078
2018/01/15|03:10:03|0.662|5|14|200|129.10699844360352
2018/01/15|03:20:03|0.77|6|36|200|133.3789825439453
2018/01/15|03:30:03|0.741|6|357|200|486.09209060668945
2018/01/15|03:40:03|0.727|14|10|200|120.27192115783691
2018/01/15|03:50:03|0.645|6|45|200|153.4440517425537
2018/01/15|04:00:03|0.646|6|10|200|110.92114448547363
2018/01/15|04:10:03|0.647|5|34|200|139.53280448913574
2018/01/15|04:20:03|0.644|5|35|200|131.98590278625488
2018/01/15|04:30:03|0.643|13|11|200|144.21606063842773
2018/01/15|04:40:03|0.644|5|11|200|106.05406761169434
2018/01/15|04:50:03|0.646|13|21|200|157.35912322998047
2018/01/15|05:00:03|0.645|9|34|200|133.68701934814453
2018/01/15|05:10:03|0.65|8|36|200|164.14880752563477
2018/01/15|05:20:03|0.655|5|43|200|141.30687713623047
2018/01/15|05:30:03|0.662|5|40|200|155.33900260925293
2018/01/15|05:40:03|0.73|7|332|200|431.0309886932373
2018/01/15|05:50:03|0.762|8|36|200|172.6539134979248
2018/01/15|06:00:03|0.649|5|11|200|110.05187034606934
2018/01/15|06:10:03|0.477|3|8|200|104.9959659576416
2018/01/15|06:20:03|0.565|3|9|200|103.96289825439453
2018/01/15|06:30:03|0.558|3|8|200|131.34407997131348
2018/01/15|06:40:03|0.415|2|247|200|336.30990982055664
2018/01/15|06:50:03|0.437|2|8|200|128.0350685119629
2018/01/15|07:00:04|0.675|4|8|200|106.57310485839844
2018/01/15|07:10:03|0.576|3|9|200|118.34502220153809
2018/01/15|07:20:03|0.56|3|10|200|112.7159595489502
2018/01/15|07:30:03|0.56|3|9|200|110.48603057861328
2018/01/15|07:40:03|0.533|4|11|200|142.7609920501709
2018/01/15|07:50:03|0.569|4|9|200|106.48679733276367
2018/01/15|08:00:03|0.577|4|10|200|120.0401782989502
2018/01/15|08:10:03|0.564|4|45|200|150.3748893737793
2018/01/15|08:20:03|0.68|4|9|200|115.72003364562988
2018/01/15|08:30:03|0.584|4|11|200|138.92602920532227
2018/01/15|08:40:03|0.667|7|35|200|139.9531364440918
2018/01/15|08:50:03|0.573|12|11|200|144.63210105895996
2018/01/15|09:00:03|0.57|11|10|200|124.06301498413086
2018/01/15|09:10:03|0.576|5|11|200|144.9589729309082
2018/01/15|09:20:03|0.609|4|9|200|112.88094520568848
2018/01/15|09:30:03|0.57|4|12|200|117.33698844909668
2018/01/15|09:40:03|0.609|3|12|200|122.4830150604248
2018/01/15|09:50:03|0.59|3|11|200|118.03984642028809
2018/01/15|10:00:03|0.574|4|10|200|109.31897163391113
2018/01/15|10:10:03|0.565|3|10|200|129.86207008361816
2018/01/15|10:20:03|0.604|12|10|200|110.34011840820312
2018/01/15|10:30:03|0.585|3|9|200|119.67587471008301
2018/01/15|10:40:03|0.569|4|10|200|119.92001533508301
2018/01/15|10:50:03|0.588|4|10|200|134.69696044921875
2018/01/15|11:00:03|0.573|3|9|200|101.78804397583008
2018/01/15|11:10:03|0.574|4|10|200|145.84898948669434
2018/01/15|11:20:03|0.574|3|9|200|98.10996055603027
2018/01/15|11:30:03|0.574|13|10|200|112.7920150756836
2018/01/15|11:40:03|0.607|4|15|200|118.83091926574707
2018/01/15|11:50:03|0.591|4|10|200|122.53308296203613
2018/01/15|12:00:04|0.573|3|9|200|149.93596076965332
2018/01/15|12:10:03|0.581|13|9|200|124.7868537902832
2018/01/15|12:20:03|0.577|4|9|200|139.24312591552734
2018/01/15|12:30:03|0.57|3|10|200|115.0660514831543
2018/01/15|12:40:03|0.564|11|12|200|156.45098686218262
2018/01/15|12:50:03|0.641|4|11|200|112.70284652709961
2018/01/15|13:00:03|1.757|5|10|200|121.4749813079834
2018/01/15|13:10:03|0.569|3|10|200|113.14606666564941
2018/01/15|13:20:03|0.627|4|52|200|159.79409217834473
2018/01/15|13:30:03|0.584|4|10|200|117.47193336486816
2018/01/15|13:40:03|0.569|3|11|200|124.07803535461426
2018/01/15|13:50:03|0.612|3|10|200|126.93619728088379
2018/01/15|14:00:03|0.572|4|11|200|125.30088424682617
2018/01/15|14:10:03|0.572|3|11|200|107.89704322814941
2018/01/15|14:20:04|0.575|14|29|200|237.89095878601074
