chart|date|executionTime|upstreamLatency|proxyLatency|responseCode|responseTime
2018/05/17|14:10:03|0.63|3|10|200|75.60396194458008
2018/05/17|14:20:03|0.342|20|2|200|58.98904800415039
2018/05/17|14:30:03|0.295|19|2|200|47.93500900268555
2018/05/17|14:40:03|0.51|21|1|200|57.77406692504883
2018/05/17|14:50:03|0.514|21|3|200|50.88210105895996
2018/05/17|15:00:03|0.509|20|1|200|54.30197715759277
2018/05/17|15:10:03|0.778|22|2|200|52.2000789642334
2018/05/17|15:20:03|0.484|2|322|200|414.19005393981934
2018/05/17|15:30:03|0.412|3|9|200|72.84784317016602
2018/05/17|15:40:03|0.517|3|24|200|96.66705131530762
2018/05/17|15:50:03|0.635|4|10|200|77.2249698638916
2018/05/17|16:00:03|0.516|20|1|200|58.712005615234375
2018/05/17|16:10:03|0.57|21|2|200|50.35400390625
2018/05/17|16:20:03|0.277|3|9|200|81.96401596069336
2018/05/17|16:30:03|0.958|24|38|200|123.57187271118164
2018/05/17|16:40:03|0.552|21|2|200|59.47399139404297
2018/05/17|16:50:03|0.501|20|2|200|50.50182342529297
2018/05/17|17:00:03|0.298|20|2|200|77.44002342224121
2018/05/17|17:10:03|0.355|21|1|200|49.488067626953125
2018/05/17|17:20:03|0.155|3|35|200|109.19690132141113
2018/05/17|17:30:03|1.486|10|10|200|83.08720588684082
2018/05/17|17:40:03|0.457|19|9|200|96.11392021179199
2018/05/17|17:50:03|0.477|3|36|200|100.86202621459961
2018/05/17|18:00:03|0.358|2|35|200|106.61101341247559
2018/05/17|18:10:03|0.958|6|34|200|100.27289390563965
2018/05/17|18:20:03|0.595|3|10|200|84.20586585998535
2018/05/17|18:30:03|0.881|22|9|200|93.67895126342773
2018/05/17|18:40:03|0.541|2|34|200|103.424072265625
2018/05/17|18:50:03|0.388|3|37|200|103.21998596191406
2018/05/17|19:00:03|1.251|6|10|200|84.68008041381836
2018/05/17|19:10:03|0.884|4|10|200|75.3641128540039
2018/05/17|19:20:03|0.746|22|3|200|83.0080509185791
