chart|date|executionTime|upstreamLatency|proxyLatency|responseCode|responseTime
2018/07/12|05:50:05||9|0|200|89.78104591369629
2018/07/12|06:00:05||11|0|200|94.93398666381836
2018/07/12|06:10:05||10|0|200|89.25414085388184
2018/07/12|06:20:04||67|0|200|153.40709686279297
2018/07/12|06:30:05||10|0|200|98.6480712890625
2018/07/12|06:40:04||72|0|200|157.72008895874023
2018/07/12|06:50:04||93|0|200|177.4139404296875
2018/07/12|07:00:05||80|0|200|164.3531322479248
2018/07/12|07:10:04||74|0|200|162.34993934631348
2018/07/12|07:20:05||80|0|200|163.39778900146484
2018/07/12|07:30:04||88|0|200|169.9669361114502
2018/07/12|07:40:04||82|0|200|170.6230640411377
2018/07/12|07:50:05||83|0|200|166.22304916381836
2018/07/12|08:00:05||76|0|200|167.25897789001465
2018/07/12|08:10:04||78|0|200|165.12799263000488
2018/07/12|08:20:04||7|0|200|95.9620475769043
2018/07/12|08:30:05||12|337|200|437.49117851257324
2018/07/12|08:40:04||6|0|200|100.35490989685059
2018/07/12|08:50:05||87|0|200|176.2681007385254
2018/07/12|09:00:04||81|0|200|166.25308990478516
2018/07/12|09:10:05||90|0|200|181.29205703735352
2018/07/12|09:20:04||80|0|200|161.26322746276855
2018/07/12|09:30:05||12|0|200|102.82421112060547
2018/07/12|09:40:10||109|0|200|214.28418159484863
2018/07/12|09:50:04||86|0|200|175.69613456726074
2018/07/12|10:00:05||14|0|200|101.64809226989746
2018/07/12|10:10:04||9|0|200|93.75905990600586
2018/07/12|10:20:04||6|0|200|91.74799919128418
2018/07/12|10:30:05||81|0|200|172.4090576171875
2018/07/12|10:40:04||74|0|200|154.59799766540527
2018/07/12|10:50:05||85|0|200|169.7380542755127
2018/07/12|11:00:05||111|0|200|199.16892051696777
2018/07/12|11:10:05||10|0|200|98.37722778320312
2018/07/12|11:20:04||9|0|200|98.60396385192871
2018/07/12|11:30:05||8|0|200|97.15795516967773
2018/07/12|11:40:04||90|0|200|178.86805534362793
2018/07/12|11:50:04||97|0|200|219.4058895111084
2018/07/12|12:00:05||8|0|200|97.28693962097168
2018/07/12|12:10:05||80|0|200|168.72906684875488
2018/07/12|12:20:05||7|0|200|88.26923370361328
2018/07/12|12:30:05||6|0|200|91.46904945373535
2018/07/12|12:40:05||79|0|200|167.48499870300293
2018/07/12|12:50:05||85|0|200|165.88401794433594
2018/07/12|13:00:05||98|0|200|178.69091033935547
2018/07/12|13:10:04||82|0|200|173.18105697631836
2018/07/12|13:20:05||6|0|200|96.0550308227539
2018/07/12|13:30:05||101|0|200|202.03495025634766
2018/07/12|13:40:04||102|0|200|194.97299194335938
2018/07/12|13:50:05||92|0|200|179.02898788452148
2018/07/12|14:00:05||16|0|200|115.50498008728027
2018/07/12|14:10:04||89|0|200|175.15897750854492
2018/07/12|14:20:05||79|0|200|166.25308990478516
2018/07/12|14:30:04||13|0|200|100.06093978881836
2018/07/12|14:40:05||100|0|200|188.69519233703613
2018/07/12|14:50:05||78|0|200|164.33286666870117
2018/07/12|15:00:05||92|0|200|175.04000663757324
2018/07/12|15:10:04||83|0|200|173.71797561645508
2018/07/12|15:20:04||100|0|200|189.23401832580566
2018/07/12|15:30:05||93|0|200|185.01687049865723
2018/07/12|15:40:05||95|0|200|187.09707260131836
2018/07/12|15:50:05||89|0|200|170.43781280517578
2018/07/12|16:00:05||82|0|200|173.59399795532227
2018/07/12|16:10:05||99|0|200|187.028169631958
2018/07/12|16:20:05||7|0|200|93.77384185791016
2018/07/12|16:30:04||75|0|200|164.98088836669922
2018/07/12|16:40:04||83|0|200|171.4918613433838
2018/07/12|16:50:05||73|0|200|167.71697998046875
2018/07/12|17:00:05||76|0|200|159.1031551361084
2018/07/12|17:10:05||100|0|200|183.9311122894287
2018/07/12|17:20:04||87|0|200|168.65801811218262
2018/07/12|17:30:04||85|0|200|167.16313362121582
2018/07/12|17:40:04||80|0|200|159.61384773254395
2018/07/12|17:50:05||80|0|200|164.6749973297119
2018/07/12|18:00:05||96|0|200|177.9501438140869
2018/07/12|18:10:06||77|0|200|167.52004623413086
2018/07/12|18:20:05||97|0|200|183.14504623413086
