chart|date|executionTime|upstreamLatency|proxyLatency|responseCode|responseTime
2018/02/09|00:59:38||||200|455.6128978729248
2018/02/09|01:09:38||||200|392.64798164367676
2018/02/09|01:19:38||||200|346.0040092468262
2018/02/09|01:29:38||||200|281.7220687866211
2018/02/09|01:39:38||||200|324.45597648620605
2018/02/09|01:49:38||||200|281.7230224609375
2018/02/09|01:59:38||||200|311.6910457611084
2018/02/09|02:09:38||||200|373.05688858032227
2018/02/09|02:19:38||||200|334.9759578704834
2018/02/09|02:29:38||||200|282.78613090515137
2018/02/09|02:40:10||||200|473.2780456542969
2018/02/09|02:50:51||||200|290.99297523498535
2018/02/09|03:00:47||||200|360.2118492126465
2018/02/09|03:10:28||||200|283.14805030822754
2018/02/09|03:21:10||||200|368.43395233154297
2018/02/09|03:31:21||||200|282.3939323425293
2018/02/09|03:42:02||||200|391.0980224609375
2018/02/09|03:52:30||||200|283.2608222961426
2018/02/09|04:02:10||||200|345.57199478149414
2018/02/09|04:12:22||||200|298.45380783081055
2018/02/09|04:23:02||||200|314.20302391052246
2018/02/09|04:32:45||||200|283.4939956665039
2018/02/09|04:42:26||||200|314.0997886657715
2018/02/09|04:52:51||||200|306.54287338256836
2018/02/09|05:02:48||||200|374.0200996398926
2018/02/09|05:13:14||||200|373.3029365539551
2018/02/09|05:22:55||||200|297.96791076660156
2018/02/09|05:32:51||||200|288.6519432067871
2018/02/09|05:43:17||||200|392.0111656188965
2018/02/09|05:52:58||||200|284.0609550476074
2018/02/09|06:03:39||||200|367.4628734588623
2018/02/09|06:14:30||||200|283.2770347595215
2018/02/09|06:24:25||||200|339.95580673217773
2018/02/09|06:34:25||||200|282.30810165405273
2018/02/09|06:46:30||||200|344.03085708618164
2018/02/09|06:57:23||||200|282.14097023010254
2018/02/09|07:07:39||||200|373.84605407714844
2018/02/09|07:18:41||||200|284.02209281921387
2018/02/09|07:29:59||||200|299.5929718017578
2018/02/09|07:40:45||||200|283.7998867034912
2018/02/09|07:50:53||||200|368.6099052429199
2018/02/09|07:57:53||||200|283.1768989562988
2018/02/09|08:00:05||||200|303.0431270599365
2018/02/09|08:10:05||||200|381.1218738555908
2018/02/09|08:20:07||||200|336.29417419433594
2018/02/09|08:30:05||||200|303.5719394683838
2018/02/09|08:40:05||||200|285.9020233154297
2018/02/09|08:50:05||||200|297.52492904663086
2018/02/09|09:00:05||||200|283.7381362915039
2018/02/09|09:10:05||||200|313.01403045654297
2018/02/09|09:20:05||||200|369.5638179779053
2018/02/09|09:30:05||||200|380.00011444091797
2018/02/09|09:40:05||||200|284.6658229827881
2018/02/09|09:50:05||||200|294.6131229400635
