chart|date|executionTime|upstreamLatency|proxyLatency|responseCode|responseTime
2018/09/17|09:50:05|298|327|0|200|362.8377914428711
2018/09/17|10:00:05|297|301|772|200|1153.7928581237793
2018/09/17|10:10:05|327|332|0|200|400.4180431365967
2018/09/17|10:20:05|284|310|190|200|544.5868968963623
2018/09/17|10:30:05|323|347|0|200|382.04002380371094
2018/09/17|10:40:06|586|621|12|200|690.5341148376465
2018/09/17|10:50:06|693|732|0|200|802.7200698852539
2018/09/17|11:00:10|589|637|0|200|681.8211078643799
2018/09/17|11:10:08|692|743|0|200|786.3810062408447
2018/09/17|11:20:07|492|499|770|200|1348.5040664672852
2018/09/17|11:30:06|463|474|0|200|544.8861122131348
2018/09/17|11:40:06|407|413|0|200|509.533166885376
2018/09/17|11:50:06|398|404|0|200|472.1231460571289
2018/09/17|12:00:12|537|546|0|200|643.2180404663086
2018/09/17|12:10:05|451|459|0|200|529.3991565704346
2018/09/17|12:20:06|461|484|589|200|1138.836145401001
2018/09/17|12:30:05|487|513|0|200|548.3119487762451
2018/09/17|12:40:06|452|462|847|200|1405.9021472930908
2018/09/17|12:50:05|445|451|0|200|521.9340324401855
2018/09/17|13:00:05|411|416|812|200|1327.0161151885986
2018/09/17|13:10:05|391|401|0|200|473.9840030670166
2018/09/17|13:20:05|322|328|0|200|426.1279106140137
2018/09/17|13:30:06|318|324|0|200|392.25196838378906
2018/09/17|13:40:05|305|331|159|200|532.4158668518066
2018/09/17|13:50:05|324|347|0|200|381.9451332092285
2018/09/17|14:00:05|316|320|753|200|1169.8648929595947
2018/09/17|14:10:05|327|332|0|200|399.84822273254395
2018/09/17|14:20:05|373|401|0|200|465.85917472839355
2018/09/17|14:30:08|321|345|0|200|379.6539306640625
2018/09/17|14:40:05|297|301|0|200|376.79100036621094
2018/09/17|14:50:05|301|307|0|200|376.0809898376465
2018/09/17|15:00:05|358|368|0|200|446.2308883666992
2018/09/17|15:10:05|323|329|747|200|1144.2971229553223
2018/09/17|15:20:05|479|486|815|200|1379.6601295471191
2018/09/17|15:30:05|448|455|0|200|523.7040519714355
2018/09/17|15:40:05|441|447|0|200|527.8770923614502
2018/09/17|15:50:06|489|496|0|200|567.047119140625
2018/09/17|16:00:06|446|470|146|200|660.7999801635742
2018/09/17|16:10:05|330|357|3|200|399.37496185302734
2018/09/17|16:20:05|372|382|748|200|1213.5210037231445
2018/09/17|16:30:05|345|351|0|200|421.95796966552734
