chart|date|executionTime|upstreamLatency|proxyLatency|responseCode
2016/12/29|22:10:01|0.677|108|0|200
2016/12/29|22:20:01|0.682|110|0|200
2016/12/29|22:30:01|0.741|75|0|200
2016/12/29|22:40:01|0.639|177|0|200
2016/12/29|22:50:01|0.661|70|0|200
2016/12/29|23:00:01|0.687|130|0|200
2016/12/29|23:10:01|0.661|111|0|200
2016/12/29|23:20:01|0.690|110|0|200
2016/12/29|23:30:01|0.636|73|0|200
2016/12/29|23:40:01|0.841|71|0|200
2016/12/29|23:50:01|0.678|68|0|200
2016/12/30|00:00:01|0.813|288|0|200
2016/12/30|00:10:01|0.771|112|0|200
2016/12/30|00:20:01|0.690|77|0|200
2016/12/30|00:30:01|0.669|124|0|200
2016/12/30|00:40:01|0.683|69|0|200
2016/12/30|00:50:01|0.684|83|0|200
2016/12/30|01:00:01|0.679|297|0|200
2016/12/30|01:20:01|1.885|123|0|200
2016/12/30|01:30:01|1.423|122|0|200
2016/12/30|01:40:01|1.266|91|0|200
2016/12/30|01:50:01|1.377|82|0|200
2016/12/30|02:00:01|1.224|135|0|200
2016/12/30|02:10:01|1.177|73|0|200
2016/12/30|02:20:01|1.163|73|0|200
2016/12/30|02:30:01|1.217|126|0|200
2016/12/30|02:40:01|1.053|93|0|200
2016/12/30|02:50:01|1.209|90|0|200
2016/12/30|03:00:01|1.066|128|0|200
2016/12/30|03:10:01|1.109|72|0|200
2016/12/30|03:20:01|1.102|121|0|200
2016/12/30|03:30:01|1.102|114|0|200
2016/12/30|03:40:01|1.218|111|0|200
2016/12/30|03:50:01|1.152|70|0|200
2016/12/30|04:00:01|1.046|120|0|200
2016/12/30|04:10:01|1.141|72|0|200
2016/12/30|04:20:01|1.065|71|0|200
2016/12/30|04:30:01|1.101|111|0|200
2016/12/30|04:40:01|0.983|69|0|200
2016/12/30|04:50:01|0.920|79|0|200
2016/12/30|05:00:01|0.833|147|0|200
2016/12/30|05:10:01|0.895|71|0|200
2016/12/30|05:20:01|8.252|116|0|200
2016/12/30|05:30:01|0.958|70|0|200
2016/12/30|05:40:01|0.907|79|0|200
2016/12/30|05:50:01|0.938|105|0|200
2016/12/30|06:00:01|0.932|129|0|200
2016/12/30|06:10:01|1.076|118|0|200
2016/12/30|06:20:01|0.829|81|0|200
2016/12/30|06:30:01|0.897|78|0|200
2016/12/30|06:40:01|1.017|110|0|200
2016/12/30|06:50:01|0.847|114|0|200
2016/12/30|07:00:01|0.904|69|0|200
2016/12/30|07:10:01|0.888|74|0|200
2016/12/30|07:20:01|1.004|115|0|200
2016/12/30|07:30:01|1.045|72|0|200
2016/12/30|07:40:01|0.858|111|0|200
2016/12/30|07:50:01|0.904|113|0|200
2016/12/30|08:00:01|0.928|75|0|200
2016/12/30|08:10:01|0.971|181|0|200
2016/12/30|08:20:01|0.913|145|0|200
2016/12/30|08:30:01|0.900|67|0|200
2016/12/30|08:40:01|0.894|110|0|200
2016/12/30|08:50:01|1.0|80|0|200
2016/12/30|09:00:01|0.899|71|0|200
2016/12/30|09:10:01|0.966|80|0|200
2016/12/30|09:20:01|0.869|122|0|200
2016/12/30|09:30:01|0.958|122|0|200
2016/12/30|09:40:01|0.840|112|0|200
2016/12/30|09:50:01|0.761|118|0|200
2016/12/30|10:00:01|0.850|71|0|200
2016/12/30|10:10:01|0.739|120|0|200
2016/12/30|10:20:01|0.771|84|0|200
2016/12/30|10:30:01|0.724|73|0|200
2016/12/30|10:40:01|0.738|116|0|200
2016/12/30|10:50:01|0.850|117|0|200
2016/12/30|11:00:01|0.861|122|0|200
2016/12/30|11:10:01|0.836|178|0|200
2016/12/30|11:20:01|0.818|117|0|200
2016/12/30|11:30:01|0.760|120|0|200
2016/12/30|11:40:01|0.940|109|0|200
2016/12/30|11:50:01|0.792|121|0|200
2016/12/30|12:00:01|0.841|76|0|200
2016/12/30|12:10:01|0.818|107|0|200
2016/12/30|12:20:01|0.866|120|0|200
2016/12/30|12:30:01|0.899|133|0|200
2016/12/30|12:40:01|0.941|65|0|200
2016/12/30|12:50:01|0.910|66|0|200
2016/12/30|13:00:01|0.782|115|0|200
2016/12/30|13:10:01|0.729|89|0|200
2016/12/30|13:20:01|1.11|79|0|200
2016/12/30|13:30:01|1.411|74|0|200
2016/12/30|13:40:01|0.786|66|0|200
2016/12/30|13:50:01|0.825|73|0|200
2016/12/30|14:00:02|0.799|80|0|200
2016/12/30|14:10:01|0.822|70|0|200
2016/12/30|14:20:02|0.954|83|0|200
2016/12/30|14:30:02|0.794|83|0|200
2016/12/30|14:40:01|0.796|140|0|200
2016/12/30|14:50:01|0.803|90|0|200
2016/12/30|15:00:01|1.866|98|0|200
2016/12/30|15:10:01|0.801|116|0|200
2016/12/30|15:20:01|0.792|82|0|200
2016/12/30|15:30:01|0.994|67|0|200
2016/12/30|15:40:01|0.786|111|0|200
2016/12/30|15:50:01|0.810|118|0|200
2016/12/30|16:00:01|0.819|129|0|200
2016/12/30|16:10:01|0.764|358|0|200
2016/12/30|16:20:01|0.825|68|0|200
2016/12/30|16:30:01|0.764|113|0|200
2016/12/30|16:40:01|0.833|81|0|200
2016/12/30|16:50:01|0.919|78|0|200
2016/12/30|17:00:01|0.812|105|0|200
2016/12/30|17:10:01|0.796|101|0|200
2016/12/30|17:20:01|0.802|71|0|200
2016/12/30|17:30:01|0.807|119|0|200
2016/12/30|17:40:01|0.727|77|0|200
2016/12/30|17:50:01|0.845|123|0|200
2016/12/30|18:00:01|0.673|113|0|200
2016/12/30|18:10:01|0.801|121|0|200
2016/12/30|18:20:01|0.721|73|0|200
2016/12/30|18:30:01|0.801|68|0|200
2016/12/30|18:40:01|0.785|120|0|200
2016/12/30|18:50:01|0.807|110|0|200
2016/12/30|19:00:01|0.752|90|0|200
2016/12/30|19:10:01|0.776|79|0|200
2016/12/30|19:20:01|0.959|112|0|200
2016/12/30|19:30:01|0.800|121|0|200
2016/12/30|19:40:01|0.900|78|0|200
2016/12/30|19:50:01|0.793|109|0|200
2016/12/30|20:00:01|0.788|118|0|200
2016/12/30|20:10:01|0.728|136|0|200
2016/12/30|20:20:01|0.684|121|0|200
2016/12/30|20:30:01|0.816|121|0|200
2016/12/30|20:40:01|0.681|115|0|200
2016/12/30|20:50:01|0.774|81|0|200
2016/12/30|21:00:01|0.787|100|0|200
2016/12/30|21:10:01|0.792|78|0|200
2016/12/30|21:20:01|0.800|122|0|200
2016/12/30|21:30:01|0.764|71|0|200
2016/12/30|21:40:01|0.806|71|0|200
2016/12/30|21:50:01|0.818|163|0|200
2016/12/30|22:00:01|0.793|77|0|200
2016/12/30|22:10:01|0.796|187|0|200
2016/12/30|22:20:01|0.790|106|0|200
2016/12/30|22:30:01|0.882|114|0|200
2016/12/30|22:40:01|0.758|119|0|200
2016/12/30|22:50:01|0.765|110|0|200
2016/12/30|23:00:01|0.737|111|0|200
2016/12/30|23:10:01|0.749|121|0|200
2016/12/30|23:20:01|0.789|113|0|200
2016/12/30|23:30:01|0.678|74|0|200
2016/12/30|23:40:01|0.767|119|0|200
2016/12/30|23:50:01|0.725|86|0|200
2016/12/31|00:00:01|0.760|257|0|200
2016/12/31|00:10:01|0.743|115|0|200
2016/12/31|00:20:01|0.757|69|0|200
2016/12/31|00:30:01|0.743|118|0|200
2016/12/31|00:40:01|0.772|120|0|200
2016/12/31|00:50:01|0.725|69|0|200
2016/12/31|01:00:01|0.766|79|0|200
2016/12/31|01:20:01|1.699|75|0|200
2016/12/31|01:30:01|1.276|120|0|200
2016/12/31|01:40:01|1.147|111|0|200
2016/12/31|01:50:01|1.211|80|0|200
2016/12/31|02:00:01|1.236|126|0|200
2016/12/31|02:10:01|1.233|120|0|200
2016/12/31|02:21:04|1.189|75|0|200
2016/12/31|02:30:01|1.239|112|0|200
2016/12/31|02:40:01|1.046|128|0|200
2016/12/31|02:50:01|1.05|73|0|200
2016/12/31|03:00:01|1.113|129|0|200
2016/12/31|03:10:01|1.127|111|0|200
2016/12/31|03:20:01|0.997|171|0|200
2016/12/31|03:30:01|1.042|80|0|200
2016/12/31|03:40:01|1.058|137|0|200
2016/12/31|03:50:01|1.033|71|0|200
2016/12/31|04:00:01|1.056|150|0|200
2016/12/31|04:10:01|0.980|75|0|200
2016/12/31|04:20:01|0.972|122|0|200
2016/12/31|04:30:01|1.274|78|0|200
2016/12/31|04:40:01|0.964|119|0|200
2016/12/31|04:50:01|0.912|109|0|200
2016/12/31|05:00:01|0.883|73|0|200
2016/12/31|05:10:01|0.903|109|0|200
2016/12/31|05:20:01|0.903|77|0|200
2016/12/31|05:30:01|0.896|120|0|200
2016/12/31|05:40:01|0.915|121|0|200
2016/12/31|05:50:01|0.860|100|0|200
2016/12/31|06:00:01|0.942|116|0|200
2016/12/31|06:10:01|0.875|111|0|200
2016/12/31|06:20:01|1.459|131|0|200
2016/12/31|06:30:01|0.875|116|0|200
2016/12/31|06:40:01|0.907|132|0|200
2016/12/31|06:50:01|0.883|90|0|200
2016/12/31|07:00:01|0.888|79|0|200
2016/12/31|07:10:01|0.886|70|0|200
2016/12/31|07:20:01|0.835|106|0|200
2016/12/31|07:30:01|1.068|124|0|200
2016/12/31|07:40:01|0.887|111|0|200
2016/12/31|07:50:01|0.970|106|0|200
2016/12/31|08:00:01|0.896|77|0|200
2016/12/31|08:10:01|0.882|162|0|200
2016/12/31|08:20:01|0.882|68|0|200
2016/12/31|08:30:01|0.915|70|0|200
2016/12/31|08:40:01|0.949|121|0|200
2016/12/31|08:50:01|0.908|112|0|200
2016/12/31|09:00:01|0.898|66|0|200
2016/12/31|09:10:01|0.899|116|0|200
2016/12/31|09:20:01|0.897|77|0|200
2016/12/31|09:30:01|0.889|78|0|200
2016/12/31|09:40:01|0.905|106|0|200
2016/12/31|09:50:01|0.904|69|0|200
2016/12/31|10:00:01|0.898|73|0|200
2016/12/31|10:10:01|0.927|111|0|200
2016/12/31|10:20:01|0.887|111|0|200
2016/12/31|10:30:01|1.082|75|0|200
2016/12/31|10:40:01|0.883|109|0|200
2016/12/31|10:50:01|0.886|115|0|200
2016/12/31|11:00:01|0.876|72|0|200
2016/12/31|11:10:01|0.888|116|0|200
2016/12/31|11:20:01|0.919|104|0|200
2016/12/31|11:30:01|0.883|108|0|200
2016/12/31|11:40:01|0.872|67|0|200
2016/12/31|11:50:01|0.871|71|0|200
2016/12/31|12:00:01|0.874|123|0|200
2016/12/31|12:10:01|1.247|64|0|200
2016/12/31|12:20:01|0.870|112|0|200
2016/12/31|12:30:01|0.834|83|0|200
2016/12/31|12:40:01|0.955|71|0|200
2016/12/31|12:50:01|0.969|130|0|200
2016/12/31|13:00:01|0.897|320|0|200
2016/12/31|13:10:01|0.877|79|0|200
2016/12/31|13:20:01|0.873|84|0|200
2016/12/31|13:30:01|0.934|122|0|200
2016/12/31|13:40:01|0.853|69|0|200
2016/12/31|13:50:01|1.144|77|0|200
2016/12/31|14:00:01|0.884|75|0|200
2016/12/31|14:10:01|0.874|114|0|200
2016/12/31|14:20:01|0.878|118|0|200
2016/12/31|14:30:01|0.979|68|0|200
